Date,Close/Last,Volume,Open,High,Low,Adjusted Close
08/28/2014,80.13,N/A,80.13,80.13,80.13,53.5632
08/27/2014,80.35,N/A,80.35,80.35,80.35,53.7103
08/26/2014,80.52,N/A,80.52,80.52,80.52,53.8239
08/25/2014,80.36,N/A,80.36,80.36,80.36,53.717
08/22/2014,80.11,N/A,80.11,80.11,80.11,53.5499
08/21/2014,79.94,N/A,79.94,79.94,79.94,53.4362
08/20/2014,79.81,N/A,79.81,79.81,79.81,53.3493
08/19/2014,79.65,N/A,79.65,79.65,79.65,53.2424
08/18/2014,79.11,N/A,79.11,79.11,79.11,52.8814
08/15/2014,78.38,N/A,78.38,78.38,78.38,52.3934
08/14/2014,78.19,N/A,78.19,78.19,78.19,52.2664
08/13/2014,77.84,N/A,77.84,77.84,77.84,52.0325
08/12/2014,77.18,N/A,77.18,77.18,77.18,51.5913
08/11/2014,77.45,N/A,77.45,77.45,77.45,51.7718
08/08/2014,77.15,N/A,77.15,77.15,77.15,51.5712
08/07/2014,76.24,N/A,76.24,76.24,76.24,50.9629
08/06/2014,76.62,N/A,76.62,76.62,76.62,51.217
08/05/2014,76.94,N/A,76.94,76.94,76.94,51.4309
08/04/2014,77.61,N/A,77.61,77.61,77.61,51.8787
08/01/2014,76.92,N/A,76.92,76.92,76.92,51.4175
07/31/2014,77.18,N/A,77.18,77.18,77.18,51.5913
07/30/2014,78.75,N/A,78.75,78.75,78.75,52.6408
07/29/2014,78.47,N/A,78.47,78.47,78.47,52.4536
07/28/2014,78.63,N/A,78.63,78.63,78.63,52.5605
07/25/2014,78.69,N/A,78.69,78.69,78.69,52.6007
07/24/2014,79.07,N/A,79.07,79.07,79.07,52.8547
07/23/2014,79.3,N/A,79.3,79.3,79.3,53.0084
07/22/2014,78.96,N/A,78.96,78.96,78.96,52.7811
07/21/2014,78.41,N/A,78.41,78.41,78.41,52.4135
07/18/2014,78.56,N/A,78.56,78.56,78.56,52.5138
07/17/2014,77.5,N/A,77.5,77.5,77.5,51.8052
07/16/2014,78.52,N/A,78.52,78.52,78.52,52.487
07/15/2014,78.55,N/A,78.55,78.55,78.55,52.5071
07/14/2014,78.95,N/A,78.95,78.95,78.95,52.7745
07/11/2014,78.49,N/A,78.49,78.49,78.49,52.467
07/10/2014,78.31,N/A,78.31,78.31,78.31,52.3466
07/09/2014,78.81,N/A,78.81,78.81,78.81,52.6809
07/08/2014,78.31,N/A,78.31,78.31,78.31,52.3466
07/07/2014,79.22,N/A,79.22,79.22,79.22,52.9549
07/04/2014,79.73,N/A,79.73,79.73,79.73,53.2958
07/03/2014,79.73,N/A,79.73,79.73,79.73,53.2958
07/02/2014,79.29,N/A,79.29,79.29,79.29,53.0017
07/01/2014,79.3,N/A,79.3,79.3,79.3,53.0084
06/30/2014,78.49,N/A,78.49,78.49,78.49,52.467
06/27/2014,78.49,N/A,78.49,78.49,78.49,52.467
06/26/2014,78.25,N/A,78.25,78.25,78.25,52.3065
06/25/2014,78.29,N/A,78.29,78.29,78.29,52.3333
06/24/2014,77.65,N/A,77.65,77.65,77.65,51.9055
06/23/2014,78.07,N/A,78.07,78.07,78.07,52.1862
06/20/2014,77.97,N/A,77.97,77.97,77.97,52.1194
06/19/2014,77.84,N/A,77.84,77.84,77.84,52.0325
06/18/2014,77.84,N/A,77.84,77.84,77.84,52.0325
06/17/2014,77.1,N/A,77.1,77.1,77.1,51.5378
06/16/2014,76.89,N/A,76.89,76.89,76.89,51.3974
06/13/2014,76.74,N/A,76.74,76.74,76.74,51.2972
06/12/2014,76.6,N/A,76.6,76.6,76.6,51.2036
06/11/2014,77.17,N/A,77.17,77.17,77.17,51.5846
06/10/2014,77.27,N/A,77.27,77.27,77.27,51.6515
06/09/2014,77.35,N/A,77.35,77.35,77.35,51.7049
06/06/2014,77.44,N/A,77.44,77.44,77.44,51.7651
06/05/2014,76.99,N/A,76.99,76.99,76.99,51.4643
06/04/2014,76.52,N/A,76.52,76.52,76.52,51.1501
06/03/2014,76.35,N/A,76.35,76.35,76.35,51.0365
06/02/2014,76.59,N/A,76.59,76.59,76.59,51.1969
05/30/2014,76.53,N/A,76.53,76.53,76.53,51.1568
05/29/2014,76.52,N/A,76.52,76.52,76.52,51.1501
05/28/2014,76.06,N/A,76.06,76.06,76.06,50.8426
05/27/2014,76.37,N/A,76.37,76.37,76.37,51.0498
05/26/2014,75.67,N/A,75.67,75.67,75.67,50.5819
05/23/2014,75.67,N/A,75.67,75.67,75.67,50.5819
05/22/2014,75.18,N/A,75.18,75.18,75.18,50.2544
05/21/2014,74.74,N/A,74.74,74.74,74.74,49.9603
05/20/2014,74.02,N/A,74.02,74.02,74.02,49.479
